,0168-1Q-virome_S7_L001.tsv,0168-1Z-virome_S6_L001.tsv,0168-U-virome_S13_L001.tsv,14-2820AC-VIROME_S5_L001.tsv,14-2820AC-viromeTruSeq.tsv,15-8466AC-VIROME_S6_L001.tsv,15-8466AC-viromeTruSeq.tsv,2088Q-28-06-viromeT_S7_L001.tsv,2088Q-29-06-viromeT_S11_L001.tsv,2088U-29-06-viromeT_S3_L001.tsv,2820-2Q-virome_S8_L001.tsv,2820-2Z-virome_S2_L001.tsv,2820-U-virome_S14_L001.tsv,4397Q-29-06-viromeT_S12_L001.tsv,5015Q-29-06-viromeT_S10_L001.tsv,6268-U-virome_S16_L001.tsv,6677Q-28-06-viromeT_S6_L001.tsv,6677Q-29-06-viromeT_S9_L001.tsv,6677U-29-06-viromeT_S1_L001.tsv,8466-1Q-virome_S10_L001.tsv,8466-2Z-virome_S9_L001.tsv,8466-U-virome_S17_L001.tsv,8659Q-28-06-viromeT_S8_L001.tsv,8659Q-29-06-viromeT_S13_L001.tsv,9092-1Q-virome_S3_L001.tsv,9092-2Z-virome_S1_L001.tsv,9092-U-virome_S11_L001.tsv,9324-2Q-virome_S5_L001.tsv,9324-2Z-virome_S4_L001.tsv,9324-U-virome_S12_L001.tsv,A1-CCR_S4_L001.tsv,A2-NORMAL_S8_L001.tsv,A4-NORMAL_S1_L001.tsv,A7-NORMAL_S2_L001.tsv,A8-NORMAL_S3_L001.tsv,B2-CCR_S5_L001.tsv,B3-CCR_S6_L001.tsv,B4-CCR_S7_L001.tsv,BLAC-viromeR_S59_L001.tsv,BLAD-viromeSC_S81_L001.tsv,BLBC-viromeR_S60_L001.tsv,CONTROL.VIROMA.S95.tsv,MAC-viromeR_S57_L001.tsv,MBC-viromeR_S58_L001.tsv,NTC-ds.tsv,P1-2635-I-virome.tsv,P1-2635-Ids-virome.tsv,P1-2635-Q-virome.tsv,P1-2635-Qds-virome.tsv,P2-6080-I-virome.tsv,P2-6080-Ids-virome.tsv,P2-6080-Q-virome.tsv,P2-6080-Qds-virome.tsv,P3-5566-I-virome.tsv,P3-5566-Ids-virome.tsv,P3-5566-Q-virome.tsv,P3-5566-Qds-virome.tsv,P4-1728-I-virome.tsv,P4-1728-Ids-virome.tsv,P4-1728-Q-virome.tsv,P4-1728-Qds-virome.tsv,P5-8986-I-virome.tsv,P5-8986-Ids-virome.tsv,P5-8986-Q-virome.tsv,P5-8986-Qds-virome.tsv,P6-8992-I-virome.tsv,P6-8992-Ids-virome.tsv,P6-8992-Q-virome.tsv,P6-8992-Qds-virome.tsv,S1-5393-VIROME_S1_L001.tsv,S1-5393-viromeTruSeq.tsv,S2-5882-viromeTruSeq.tsv,S3-9504-VIROME_S3_L001.tsv,S3-9504-viromeTruSeq.tsv,S4-1876-VIROME_S4_L001.tsv,S4-1876-viromeTruSeq.tsv,SAC1-virome.tsv,SAC1-viromeR_S55_L001.tsv,SAC2-virome.tsv,SAC2-viromeR_S56_L001.tsv,SAD1-virome.tsv,SAD1-viromeR_S61_L001.tsv,SAD2-virome.tsv,SAK1-virome_S66_L001.tsv,SAK2-virome_S67_L001.tsv,SAMPLE.VIROMA.S94.tsv,SANK1-virome_S69_L001.tsv,SANK2-virome_S70_L001.tsv,SARS.VIROMA.S96.tsv,SBC1-virome.tsv,SBC2-virome.tsv,SBD1-virome.tsv,SBD2-virome.tsv,SBK-virome_S68_L001.tsv,SBNK-virome_S71_L001.tsv,target_human_sLC3_S32_L001.tsv
Kaohsiungvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Betanodavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vapseptimavirus,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Tepovirus,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Betapolyomavirus,,,3,,1,,2,,,,1,1,,,,,,,,1,,,,,1,1,,,,1,,,1,1,,,,,,,,,,,,3,,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,3,3,,1,,,,,,1,,,,,,,,,,,,1,,
Bottigliavirus,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelquatrovirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betanudivirus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,2,,,,,,,6,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Tegunavirus,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Vicosavirus,,,1,1,5,,,,,,,,1,,,,,,2,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,2,,2,,2,,,,,,,,,,,,,,,,,,,,
Agnathovirus,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerosvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Betanecrovirus,,,,,,,,,,,5,39,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henipavirus,1,,,,2,,1,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,
Brucesealvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pikminvirus,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,11,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
Arurhavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,3,6,2,,1,1,,,,,,,,,,,,,,,,,,11,10,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatevirus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiovirus,,,,32,9,1,,,,,,,5,,,,,,,,,,,,1,,,1,,4,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,269,263,226,3,2,,,,,1,3,434,646,8,2,
Teschovirus,,,1,1,,1,,,,,,,,,,,,,,1,,,,,2,1,,4,2,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,4,,,,,,,1,,,,,,,,,,,,,
Deltahypovirus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epsilontorquevirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Coccolithovirus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Mupapillomavirus,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kochikohdavirus,,,,,2,,1,,,,1,,,,,,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
Amdoparvovirus,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Begomovirus,6,1,5,5,30,7,10,1,,,2,,3,,,4,,,,4,,3,,,6,1,,2,6,24,9,11,4,,4,2,,2,2,3,3,,3,2,,45,71,9,8,6,11,2,3,,,1,1,1,,2,,,,2,2,10,8,11,7,4,13,9,20,19,,17,,,,,,,,,,1,,,,,,,,,,
Cheoctovirus,,,2,,5,,1,,,,,,,,,,,,,,,,,,,1,1,3,2,8,,,,,,,,,,,,,,,,,,,4,,1,,1,,,,,,,,1,,,1,,,,,1,1,12,4,1,6,,7,,,,,,,,,,,,,,,,,,,,
Avastrovirus,,,,297,4,,,,,,,,26,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,3,2,1,,,,,,,,,,,,,1,,,,1,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,
Taupapillomavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,,,,,,,,,,1,,,4,,1,,,1,,,,,,,,,,,,,,,,,,,,
Mguuvirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,
Phleivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Vhmlvirus,,,1,1,8,,1,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,3,,,,1,,,,44,29,2,,1,,,,,,1,,,,,,,,,,,,,,,3,1,1,2,,6,,,,,,,,,,,,,,,,,,,,
Rajidapivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roufvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Salvovirus,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,
Metahepadnavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Novosibvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rauchvirus,,,9,8,58,1,25,,,2,1,,6,,,8,,,13,,,1,,,,,,,,77,,,1,2,,,,,,,,,,,,,,9,9,,,,1,,,3,2,1,,6,5,,,14,5,,,4,2,13,48,22,4,36,,16,,,,,,,,,,,1,,,,,,,1,,
Orbivirus,,,,1,5,1,1,,,,,,,,,,,,,,,,,,,1,,,6,3,1,17,1,,1,1,1,,,3,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,4,7,,,4,1,,,,,,,,,,,,,,,,,,,,,
Gemykrogvirus,,,,8,122,2,15,,,,,,21,,,5,,,,1,1,3,,,,,8,,,2,17,1,3,8258,13,,,,,,,,,,,413,255,7,3,9,13,4,2,3,8,4,3,,,1,,11,13,4,4,11,16,,3,713,1885,1,,8,1,6,,,,,7,1,,,,1,,,,,,2,,,,
Wildcatvirus,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,
Siminovitchvirus,,,,2,3,,3,,,,,,7,,,3,,,1,,,,,,,,1,,,2,,1,,1,3,,,,1,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Siovirus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Alphanucleorhabdovirus,,,,,,,1,,,,,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,6,1,1,,,,,,,,,,,,,,,,,,,,,
Alfamovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trungvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Lavrentievavirus,,,,,2,,1,,,,,,,,,1,,,1,,,,,,1,,,,,4,6,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,10,1,,2,,,,,,,,,,,,,,,,,,,,,,
Salemvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Chiangmaivirus,,,,1,10,,1,,,1,,,,,,2,,,2,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,1,,3,,2,,,,,,,,,,,,,,,,,,,,
Getalongvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zarhavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eneladusvirus,,,1,1,1,,1,,,,1,,1,,,,,,,,,,,,,,,1,,2,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,1,1,2,,1,,2,,,,,,,,,,,,,,,,,,,,
Eceepunavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suipoxvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,1,,,,,,,,,,,
Makelovirus,,,1,,10,,1,,,1,,,2,,,,,,2,,,,,,2,,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,4,3,,1,,,,,,,,,,,,,,,,,,,,,,
Orthopoxvirus,,,,,7,,,,,,,,1,,,2,,1,,,,,,,2,3,,1,,4,1,,5,,,21,,,,,,,,,43,1,,,2,,1,1,1,5,8,,3,,,,,,,1,,,,,,,9,2,4,2,1,,,,,,,,,,1,,,,,,,,,,,
Deltabaculovirus,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosariovirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cytomegalovirus,1,,3,1,13,2,16,,1,,4,,2,,2,,,,1,1,1,,1,,1,1,1,,1,8,2,,4,1,,,,4,,,,,,,1,30,19,6,2,,,,,,,,,,2,1,,,,2,2,,,,,5,15,4,10,25,,2,,,,,,,,,,,,,,,1,,,1,,
Nazgulvirus,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,1,,2,,,,,,,,,,,,,,,,,,,,
Bavovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Metforvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ravarandavirus,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,31,8,,,,,,,,,,,,,,,,,,,,
Epseptimavirus,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,2,2,,2,,1,,,,,,,,,,,,,,,,,,,,
Gammainfluenzavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Neritesvirus,,,2,1,13,,2,,,1,,,1,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,,,2,,,,3,1,,,2,,1,10,3,,4,1,2,,,,,,,,,,,,,,,,,,,,
Sheenvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Enhodamvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furovirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosigvirus,,,,,2,,,,,,1,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,1,,,,,,,,,,,,,,,
Attisvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matervirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thogotovirus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hapavirus,,,,,4,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,3,,,,,1,,,,,,,,,,,,,,,,,1,,,
Morbillivirus,1,,46,1,9,,3,,,1,,,2,,,,,,,2,,,,,2,2,,,,4,3,12,3,,,2,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,1,,3,1,,,,9,,3,3,1,7,,,,,,,,,1,1,1,1,,,,,,,,1
Dinovernavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarhusvirus,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,21,4,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lwoffvirus,1,,,,,6,8,,,,1,,,,,,,,,,1,1,,,,,,,,2,6,1,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,2,,2,,1,,,,,,,,,,,,,,,,,,,,
Orthotospovirus,,1,2,1,25,,,,,,,,1,,,1,,,1,,,,,,,,,1,,4,1,1,,,,1,1,,,,,,,,2,,,,2,,,,,,1,1,,,,,,3,7,2,2,,,1,,2,9,3,3,1,,3,,1,,,,,,,,,,,,,,,,,,
Borockvirus,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Entnonagintavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Salterprovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Betaarterivirus,,,,,4,,1,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,1,1,1,1,,,,,4,,1,,,,,,2,,1,1,,,,1,3,,1,
Pegunavirus,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Upsilonpapillomavirus,,,,,1,,2,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
Hypovirus,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,10,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Huelvavirus,,,,,,,2,,,,,,2,,,1,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Betatristromavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Phlebovirus,,,,,2,,,,,1,1,,,,,,,,,1,,,,,,,,,,2,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,,,1,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Yuavirus,,,,,5,,,,,1,,,1,,,,,,1,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,
Gilesvirus,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Atadenovirus,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
Fremauxvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,2,,2,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphanemrhavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lullwatervirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,
Leucotheavirus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Biquartavirus,,,,,2,,,,,,,,1,,,,,,2,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,
Obolenskvirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Dyoetapapillomavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byrnievirus,1,,8,3,56,2,20,,,2,,,5,,,9,,,6,,,2,,,,,,6,5,54,34,,,1,,,,,,,1,,,1,,2,1,17,11,,,,2,,,2,,,,5,5,,1,11,4,,,3,,7,69,22,5,33,,26,1,,,,,,,,,,,,,,,,,1,,
Liebevirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Pregotovirus,,,,,,19,4,,,,,,,,,,,,,,,,,,,,,1,2,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,11,,,,1,1,1,,,,,,,,,,,,,,,,,,,,
Goettingenvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellamyvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Copiparvovirus,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,15,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
